,Name,Alignment,Gender,EyeColor,Race,HairColor,Height,Weight,characterID,comics_count
0,Absorbing Man,bad,Male,blue,Human,No Hair,193.0,122.0,1009148,69
1,Agent Zero,good,Male,-,-,-,191.0,104.0,1009150,24
2,Annihilus,bad,Male,green,-,No Hair,180.0,90.0,1009154,59
3,Apocalypse,bad,Male,red,Mutant,Black,213.0,135.0,1009156,86
4,Arachne,good,Female,blue,Human,Blond,175.0,63.0,1010773,6
5,Archangel,good,Male,blue,Mutant,Blond,183.0,68.0,1009159,538
6,Arclight,bad,Female,violet,-,Purple,173.0,57.0,1009160,12
7,Ares,good,Male,brown,-,Brown,185.0,270.0,1010784,57
8,Aurora,good,Female,blue,Mutant,Black,180.0,63.0,1009163,67
9,Banshee,good,Male,green,Human,Strawberry Blond,183.0,77.0,1009168,172
10,Beak,good,Male,black,-,White,175.0,63.0,1009174,15
11,Beast,good,Male,blue,Mutant,Blue,180.0,181.0,1009175,771
12,Beyonder,good,Male,-,God / Eternal,-,-99.0,-99.0,1011138,6
13,Bishop,good,Male,brown,Mutant,No Hair,198.0,124.0,1009182,263
14,Black Bolt,good,Male,blue,Inhuman,Black,188.0,95.0,1009184,137
15,Black Cat,good,Female,green,Human,Blond,178.0,54.0,1009185,126
16,Black Panther,good,Male,brown,Human,Black,183.0,90.0,1009187,530
17,Black Widow,good,Female,green,Human,Auburn,170.0,59.0,1009189,462
18,Blackout,bad,Male,red,Demon,White,191.0,104.0,1011349,1
19,Blade,good,Male,brown,Vampire,Black,188.0,97.0,1009191,55
20,Blink,good,Female,green,Mutant,Magenta,165.0,56.0,1009197,52
21,Blizzard,bad,Male,-,-,-,-99.0,-99.0,1009198,10
22,Blizzard,bad,Male,-,-,Brown,-99.0,-99.0,1009198,10
23,Blob,bad,Male,brown,-,Brown,178.0,230.0,1009199,71
24,Bloodaxe,bad,Female,blue,Human,Brown,218.0,495.0,1011073,5
25,Boomer,good,Female,-,-,-,-99.0,-99.0,1009205,57
26,Box,good,Male,-,-,-,-99.0,-99.0,1009206,4
27,Brother Voodoo,good,Male,brown,Human,Brown / White,183.0,99.0,1011090,9
28,Bullseye,bad,Male,blue,Human,blond,183.0,90.0,1009212,96
29,Cable,good,Male,blue,Mutant,White,203.0,158.0,1009214,373
30,Callisto,bad,Female,blue,-,Black,175.0,74.0,1009217,31
31,Cannonball,good,Male,blue,-,Blond,183.0,81.0,1009219,272
32,Captain America,good,Male,blue,Human,blond,188.0,108.0,1009220,2040
33,Captain Britain,good,Male,blue,Human,Blond,198.0,116.0,1009223,135
34,Captain Universe,good,-,-,God / Eternal,-,-99.0,-99.0,1011027,20
35,Carnage,bad,Male,green,Symbiote,Red,185.0,86.0,1009227,65
36,Cecilia Reyes,good,-,brown,-,Brown,170.0,62.0,1009536,23
37,Chamber,good,Male,brown,Mutant,Brown,175.0,63.0,1009233,40
