,Name,Images,Series
0,Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/portrait_fantastic.jpg,"['A+X (2012 - 2014)', 'Avengers (1963 - 1996)', 'Avengers Academy (2010 - 2012)', 'Avengers Annual (1967 - 1994)', 'Black Bolt (2017 - 2018)', 'Black Bolt Vol. 1: Hard Time (2017)', 'Captain America (1998 - 2002)', 'Dazzler (1981 - 1986)', 'Deadpool (1997 - 2002)', 'Fantastic Four (1961 - 1998)', 'Fantastic Four (1998 - 2012)', 'Fear Itself (2010 - 2011)', 'Fear Itself: Fellowship of Fear (2011)', 'Fear Itself: The Worthy (2011)', 'Heroes for Hire (1997 - 1999)', 'Hulk (1999 - 2008)', 'Illuminati (2015 - 2016)', 'Immortal Hulk (2018 - Present)', 'Immortal Hulk Vol. 2: The Green Door (2019)', 'Incredible Hulk (1962 - 1999)']"
1,Agent Zero,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790/portrait_fantastic.jpg,"['Weapon X (2002 - 2004)', 'Weapon X: Days of Future Now (2006)', 'Weapon X: Days of Future Now (2005)', 'Wolverine (1988 - 2003)', 'Wolverine/Deadpool: Weapon X (1999)', 'X-Man (1995 - 2000)', 'X-Men (1991 - 2001)', 'X-Men Unlimited (1993 - 2003)']"
2,Annihilus,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6/portrait_fantastic.jpg,"['All-New, All-Different Avengers (2015 - 2016)', 'Amazing Spider-Man (1999 - 2013)', 'Annihilation (2006 - 2007)', 'Annihilation: Nova (2006)', 'Annihilation: Silver Surfer (2006)', 'Annihilation: The Complete Collection Vol. 1 (2018)', 'Annihilation: The Nova Corps (2006)', 'Essential Fantastic Four Vol. 4 (2005)', 'Fantastic Four (1998 - 2012)', 'Fantastic Four (1961 - 1998)', 'Fantastic Four (1996 - 1997)', 'Fantastic Four Annual (1963 - 1994)', 'Fantastic Four Visionaries: John Byrne Vol. 3 (2004)', 'Iron Man (1996 - 1998)', 'Last Planet Standing (2006)', 'Marvel Fanfare (1982 - 1992)', 'Marvel Mangaverse Vol. I (2002)', 'MARVEL MANGAVERSE: FANTASTIC FOUR 1 (2002)', 'Marvel Masterworks: The Fantastic Four Vol. 8 (2005)', 'Paradise X (2002 - 2003)']"
3,Apocalypse,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0/portrait_fantastic.jpg,"['Age of X-Man: Apocalypse & the X-Tracts (2019)', 'Avengers (2010 - 2012)', 'Cable (1993 - 2002)', 'Cable (2008 - 2010)', 'Essential X-Factor Vol. 2 (All-New Edition) (2011 - Present)', 'Excalibur (2019 - Present)', 'Extraordinary X-Men Vol. 3: Kingdoms Fall (2017)', 'Further Adventures of Cyclops & Phoenix (1996)', 'Incredible Hulk (1962 - 1999)', 'Mystic Comics 70th Anniversary Special (2009)', 'Official Handbook of the Marvel Universe (2004)', 'Onslaught: Marvel Universe (1996)', 'Rise of Apocalypse (1996 - 1997)', ""Stryfe's Strike File (1993)"", 'Uncanny Avengers (2012 - 2014)', 'Uncanny X-Force (2010 - 2012)', 'Uncanny X-Men (1963 - 2011)', 'What If? X-Men Age of Apocalypse (2006)', 'What If?: Event Horizon (2007)', 'Wolverine (1988 - 2003)']"
4,Arachne,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794/portrait_fantastic.jpg,"['Amazing Spider-Man (1999 - 2013)', 'Herc (2010 - 2011)']"
5,Archangel,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180/portrait_fantastic.jpg,"['AGE OF APOCALYPSE: THE CHOSEN 1 (1995)', 'All-Winners Comics (1941 - 1947)', 'Alpha Flight (1983 - 1994)', 'ARCHANGEL (1996)', 'Astonishing X-Men (2004 - 2013)', 'Astonishing X-Men (2017 - 2018)', 'Astonishing X-Men Annual (2018)', 'Astonishing X-Men by Charles Soule Vol. 1: Life of X (2018)', 'Avengers (1998 - 2004)', 'Avengers Assemble Vol. 3 (2006)', 'Avengers Vol. 1: World Trust (2003)', 'Bishop (1994 - 1995)', 'Cable (1993 - 2002)', 'Cable (2008 - 2010)', 'Call, the Vol. 2: The Precinct (2003)', 'Captain America (2002 - 2004)', 'Captain Marvel (2000 - 2002)', 'Captain Marvel Vol. 1: Nothing to Lose (2003)', 'Captain Marvel Vol. I (1999)', 'Champions (1975 - 1978)']"
6,Arclight,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b/portrait_fantastic.jpg,"['Uncanny X-Men (1963 - 2011)', 'X-Factor (1986 - 1998)', 'X-Man (1995 - 2000)', 'X-Men: Mutant Massacre (1999)', 'X-Men: Old Soldiers (2004)']"
7,Ares,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603/portrait_fantastic.jpg,"['Adam: Legend of the Blue Marvel (2008)', 'Adam: Legend of the Blue Marvel (2008)', 'Amazing Spider-Man (1999 - 2013)', 'Ares (2006)', 'Ares: God of War (2006)', 'Avengers (1963 - 1996)', 'Avengers (1998 - 2004)', 'Avengers/Invaders (2008 - 2009)', 'Avengers: The Kang Dynasty (2002)', 'Captain America: Reborn (2009 - 2010)', 'CAPTAIN AMERICA: REBORN MGC 1 (2011)', 'Chaos War: Ares (2010)', 'Contest of Champions (2015 - 2016)', 'Dark Avengers: Ares (2009 - 2010)', 'Incredible Hercules (2008 - 2010)', 'Irredeemable Ant-Man (2006 - 2007)', 'Marvel Masterworks: The Avengers Vol. (2005)', 'Marvel Super Action (2011)', 'MARVEL SUPER SPECIAL 1 (2010)', 'Mighty Avengers by Brian Michael Bendis: The Complete Collection (2017)']"
8,Aurora,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072/portrait_fantastic.jpg,"['AGE OF APOCALYPSE: THE CHOSEN 1 (1995)', 'Alpha Flight (2004 - 2005)', 'Alpha Flight (2011 - 2012)', 'Alpha Flight (1983 - 1994)', 'Chaos War: Alpha Flight (2010)', 'Hulk (2008 - 2012)', 'Marvel Masterworks: The Uncanny X-Men Vol. 5 (2005)', 'Uncanny X-Men (1963 - 2011)', 'Uncanny X-Men Omnibus Vol. 1 (2006)', 'Weapon X (2002 - 2004)', 'Weapon X Vol. 1 (2003)', 'Weapon X Vol. I (1999)', 'Weapon X: The Draft - Wild Child (2002)', 'Wolverine (1988 - 2003)', 'X-Factor (1986 - 1998)', 'X-Men: The Complete Age of Apocalypse Epic Book 2 (2005)']"
9,Banshee,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54/portrait_fantastic.jpg,"['Alpha Flight (1983 - 1994)', 'Astonishing X-Men (2017 - 2018)', 'Astonishing X-Men (1995)', 'Captain America (1968 - 1996)', 'CAPTAIN AMERICA AND THE FALCON: SECRET EMPIRE TPB (2017)', 'Chaos War: X-Men (2010)', 'Classic X-Men (1986 - 1990)', 'Earth X (1999)', 'Earth X (New (2006)', 'Excalibur (1988 - 1998)', 'Generation X (1994 - 2001)', 'House of M: Uncanny X-Men (2006)', 'Marvel Masterworks: The Uncanny X-Men Vol. 5 (2005)', 'Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)', 'Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)', 'Marvel Masterworks: The X-Men Vol. 3 DM Variant TPB (2011 - Present)', 'Marvel Masterworks: The X-Men Vol. 3 TPB (2011 - Present)', 'Marvel Masterworks: The X-Men Vol. 4 (2004)', 'Marvel Masterworks: The X-Men Vol. III - 2nd Edition (1st) (2003)', 'Marvel Masterworks: The X-Men Vol.6 (2006)']"
