,Reference,Publisher,Title,Price
692,NOV190753,MARVEL COMICS,IRON MAN 2020 #1 (OF 6),$4.99
693,NOV190988,MARVEL COMICS,ACTS OF VENGEANCE TP AVENGERS,$39.99
694,NOV190996,MARVEL COMICS,ADVENTURES OF X-MEN GN TP TOOTH & CLAW,$9.99
695,NOV190937,MARVEL COMICS,AERO #7,$3.99
696,NOV190965,MARVEL COMICS,AERO TP VOL 01,$17.99
697,NOV190976,MARVEL COMICS,AGE OF CONAN TP VALERIA,$15.99
698,NOV190968,MARVEL COMICS,AGENTS OF ATLAS TP,$15.99
699,NOV190946,MARVEL COMICS,AMAZING FANTASY OMNIBUS HC BRERETON DM VAR NEW PTG,$75.00
700,NOV190945,MARVEL COMICS,AMAZING FANTASY OMNIBUS HC NEW PTG,$75.00
701,NOV190917,MARVEL COMICS,AMAZING MARY JANE #4,$3.99
702,NOV190918,MARVEL COMICS,AMAZING MARY JANE #4 GONZALES VAR,$3.99
703,NOV190900,MARVEL COMICS,AMAZING SPIDER-MAN #347 FACSIMILE EDITION,$3.99
704,NOV191001,MARVEL COMICS,AMAZING SPIDER-MAN #347 POSTER,$8.99
705,NOV190913,MARVEL COMICS,AMAZING SPIDER-MAN #37,$3.99
706,NOV190914,MARVEL COMICS,AMAZING SPIDER-MAN #37 CAMUNCOLI MARVELS X VAR,$3.99
707,NOV190915,MARVEL COMICS,AMAZING SPIDER-MAN #38,$3.99
708,NOV190916,MARVEL COMICS,AMAZING SPIDER-MAN #38 NOTO MARVELS X VAR,$3.99
709,NOV190841,MARVEL COMICS,AMAZING SPIDER-MAN DAILY BUGLE #1 (OF 5),$3.99
710,NOV190844,MARVEL COMICS,AMAZING SPIDER-MAN DAILY BUGLE #1 (OF 5) LUBERA VAR,$3.99
711,NOV190980,MARVEL COMICS,AMAZING SPIDER-MAN EPIC COLL TP SECRET OF PETRIFIED TABLET,$39.99
712,NOV190861,MARVEL COMICS,ATLANTIS ATTACKS #1 (OF 5),$3.99
713,NOV190862,MARVEL COMICS,ATLANTIS ATTACKS #1 (OF 5) RON LIM VAR,$3.99
714,NOV190855,MARVEL COMICS,AVENGERS #29,$3.99
715,NOV190856,MARVEL COMICS,AVENGERS #29 LUPACCHINO MARVELS X VAR,$3.99
716,NOV190857,MARVEL COMICS,AVENGERS #30,$3.99
717,NOV190858,MARVEL COMICS,AVENGERS #30 BROOKS MARVEL X VAR,$3.99
718,NOV190972,MARVEL COMICS,AVENGERS BY JASON AARON TP VOL 05 CHALLENGE OF GHOST RIDERS,$15.99
719,NOV190845,MARVEL COMICS,AVENGERS OF THE WASTELANDS #1 (OF 5),$3.99
720,NOV190846,MARVEL COMICS,AVENGERS OF THE WASTELANDS #1 (OF 5) GARRY BROWN VAR,$3.99
721,NOV190907,MARVEL COMICS,BLACK CAT #8,$3.99
722,NOV190908,MARVEL COMICS,BLACK CAT #8 ANACLETO MARVELS X VAR,$3.99
723,NOV190884,MARVEL COMICS,BLACK PANTHER #20,$3.99
724,NOV190885,MARVEL COMICS,BLACK PANTHER #20 ARTIST VAR,$3.99
725,NOV190985,MARVEL COMICS,BLACK WIDOW EPIC COLLECTION TP BEWARE BLACK WIDOW,$39.99
726,NOV190983,MARVEL COMICS,BLACK WIDOW TP WIDOWMAKER,$39.99
727,NOV190871,MARVEL COMICS,CAPTAIN AMERICA #18,$3.99
728,NOV190872,MARVEL COMICS,CAPTAIN AMERICA #18 KUBERT MARVELS X VAR,$3.99
729,NOV190787,MARVEL COMICS,CAPTAIN AMERICA THE END #1,$4.99
730,NOV190788,MARVEL COMICS,CAPTAIN AMERICA THE END #1 LARSEN VAR,$4.99
731,NOV190878,MARVEL COMICS,CAPTAIN MARVEL #14,$3.99
732,NOV190880,MARVEL COMICS,CAPTAIN MARVEL #14 GARNER MARVELS X VAR,$3.99
733,NOV190879,MARVEL COMICS,CAPTAIN MARVEL #14 INHYUK LEE CONNECTING VAR,$3.99
734,NOV190791,MARVEL COMICS,CAPTAIN MARVEL THE END #1,$4.99
735,NOV190792,MARVEL COMICS,CAPTAIN MARVEL THE END #1 CARNERO VAR,$4.99
736,NOV190943,MARVEL COMICS,CLOAK AND DAGGER OMNIBUS HC VOL 01,$100.00
737,NOV190944,MARVEL COMICS,CLOAK AND DAGGER OMNIBUS HC VOL 01 DM VAR,$100.00
738,NOV190929,MARVEL COMICS,CONAN SERPENT WAR #3 (OF 4),$3.99
739,NOV190930,MARVEL COMICS,CONAN SERPENT WAR #3 (OF 4) CAMUNCOLI CONNECTING VAR,$3.99
740,NOV190933,MARVEL COMICS,CONAN SERPENT WAR #4 (OF 4),$4.99
741,NOV190935,MARVEL COMICS,CONAN SERPENT WAR #4 (OF 4) CAMUNCOLI CONNECTING VAR,$4.99
742,NOV190962,MARVEL COMICS,DAWN OF X TP VOL 01,$24.99
743,NOV190888,MARVEL COMICS,DEADPOOL #3,$3.99
744,NOV190889,MARVEL COMICS,DEADPOOL #3 YARDIN MARVELS X VAR,$3.99
745,NOV190789,MARVEL COMICS,DEADPOOL THE END #1,$4.99
746,NOV190790,MARVEL COMICS,DEADPOOL THE END #1 ESPIN VAR,$4.99
747,NOV190974,MARVEL COMICS,DEATHS HEAD TP FREELANCE PEACEKEEPING AGENT,$39.99
748,NOV191002,MARVEL COMICS,DOCTOR DOOM #4 POSTER,$8.99
749,NOV190797,MARVEL COMICS,DOCTOR STRANGE THE END #1,$4.99
750,NOV190798,MARVEL COMICS,DOCTOR STRANGE THE END #1 ANDRADE VAR,$4.99
751,NOV190874,MARVEL COMICS,DR STRANGE #2,$3.99
752,NOV190876,MARVEL COMICS,DR STRANGE #2 VATINE MARVELS X VAR,$3.99
753,NOV190956,MARVEL COMICS,EARTH X TP NEW PTG,$29.99
754,NOV190826,MARVEL COMICS,EXCALIBUR #5 DX,$3.99
755,NOV190827,MARVEL COMICS,EXCALIBUR #5 SLINEY MARVELS X VAR DX,$3.99
756,NOV190829,MARVEL COMICS,EXCALIBUR #6 DX,$3.99
757,NOV190830,MARVEL COMICS,EXCALIBUR #6 MCKONE MARVELS X DX,$3.99
758,NOV190832,MARVEL COMICS,FALLEN ANGELS #5 DX,$3.99
759,NOV190834,MARVEL COMICS,FALLEN ANGELS #6 DX,$3.99
760,NOV190886,MARVEL COMICS,FANTASTIC FOUR #18,$3.99
761,NOV190887,MARVEL COMICS,FANTASTIC FOUR #18 SMALLWOOD MARVELS X VAR,$3.99
762,NOV190839,MARVEL COMICS,FANTASTIC FOUR ANNUAL #6 FACSIMILE EDITION,$4.99
763,NOV190981,MARVEL COMICS,FANTASTIC FOUR EPIC COLLECTION COMING GALACTUS TP NEW PTG,$39.99
764,NOV190990,MARVEL COMICS,FANTASTIC FOUR TP THE END NEW PTG,$15.99
765,NOV190882,MARVEL COMICS,GHOST RIDER #4,$3.99
766,NOV190987,MARVEL COMICS,GHOST RIDER TP BOOK 02 WAR FOR HEAVEN,$34.99
767,NOV190909,MARVEL COMICS,GHOST-SPIDER #6,$3.99
768,NOV190967,MARVEL COMICS,GHOST-SPIDER TP,$15.99
769,NOV190742,MARVEL COMICS,GUARDIANS OF THE GALAXY #1,$4.99
770,NOV190751,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 BLANK VAR,$4.99
771,NOV190998,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 POSTER,$8.99
772,NOV190745,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 RON LIM VAR,$4.99
773,NOV190744,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 SHAVRIN VAR,$4.99
774,NOV190749,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 SKAN MARVELS X VAR,$4.99
775,NOV190947,MARVEL COMICS,GUARDIANS OF THE GALAXY HC SOMEBODYS GOT TO MARVEL SELECT,$24.99
776,NOV190963,MARVEL COMICS,GUARDIANS OF THE GALAXY TP VOL 02 FAITHLESS,$24.99
777,NOV190971,MARVEL COMICS,GWENPOOL STRIKES BACK TP,$15.99
778,NOV190859,MARVEL COMICS,HAWKEYE FREE FALL #2,$3.99
779,NOV190960,MARVEL COMICS,HISTORY OF MARVEL UNIVERSE TREASURY EDITION TP,$29.99
780,NOV190961,MARVEL COMICS,HISTORY OF MARVEL UNIVERSE TREASURY EDITION TP DM VAR,$29.99
781,NOV190991,MARVEL COMICS,HULK TP THE END NEW PTG,$17.99
